Hospital Name,Hospital Type,Hospital Ownership,Emergency Services
METHODIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SAINT JOSEPH MOUNT STERLING,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LOGAN MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
UNIVERSITY OF KENTUCKY HOSPITAL,Acute Care Hospitals,Government - State,Yes
WILLIAMSON ARH HOSPITAL,Acute Care Hospitals,Proprietary,Yes
LOUISVILLE VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
TWIN LAKES REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
PAUL B HALL REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
HARRISON MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LEXINGTON-LEESTOWN VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
BAPTIST REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
TAYLOR REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
"NORTON HOSPITALS, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
CLARK REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
REGIONAL MEDICAL CENTER OF HOPKINS COUNTY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CRITTENDEN HEALTH SYSTEM,Acute Care Hospitals,Proprietary,Yes
GEORGETOWN COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
LOURDES HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CENTRAL BAPTIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WESTERN BAPTIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MONROE COUNTY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"CLINTON COUNTY HOSPITAL, INC",Acute Care Hospitals,Proprietary,Yes
ROCKCASTLE REG HOSPITAL & RESPIRATORY CARE CTR,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JACKSON PURCHASE MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
PARKWAY REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
GREENVIEW REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
FRANKFORT REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
THREE RIVERS MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
BAPTIST HOSPITAL EAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes
LAKE CUMBERLAND REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
BAPTIST HOSPITAL NORTHEAST,Acute Care Hospitals,Voluntary non-profit - Private,Yes
KENTUCKY RIVER MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
UNIVERSITY OF LOUISVILLE HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT JOSEPH EAST,Acute Care Hospitals,Voluntary non-profit - Church,Yes
WESTLAKE REGIONAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MARCUM AND WALLACE MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
THE JAMES B HAGGIN MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
NICHOLAS COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
TRIGG COUNTY HOSPITAL,Critical Access Hospitals,Government - Local,Yes
SAINT JOSEPH MARTIN,Critical Access Hospitals,Voluntary non-profit - Private,Yes
METHODIST HOSPITAL UNION COUNTY,Critical Access Hospitals,Voluntary non-profit - Church,Yes
MORGAN COUNTY ARH HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BLUEGRASS COMMUNITY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
CASEY COUNTY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
CARROLL COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST ELIZABETH GRANT,Critical Access Hospitals,Voluntary non-profit - Church,Yes
NEW HORIZONS MEDICAL CENTER,Critical Access Hospitals,Proprietary,Yes
CAVERNA MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MARY BRECKINRIDGE ARH HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CUMBERLAND COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
THE MEDICAL CENTER AT FRANKLIN,Critical Access Hospitals,Voluntary non-profit - Private,Yes
BRECKINRIDGE MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
"LIVINGSTON HOSPITAL AND HEALTHCARE SERVICES, INC",Critical Access Hospitals,Proprietary,Yes
WAYNE COUNTY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
CALDWELL MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
OHIO COUNTY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
THE MEDICAL CENTER AT SCOTTSVILLE,Critical Access Hospitals,Voluntary non-profit - Private,Yes
JANE TODD CRAWFORD HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MARSHALL COUNTY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
KNOX COUNTY HOSPITAL,Critical Access Hospitals,Proprietary,Yes
SAINT JOSEPH BEREA,Critical Access Hospitals,Voluntary non-profit - Private,Yes
RUSSELL COUNTY HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
MCDOWELL ARH HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WASHINGTON ST TAMMANY  REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
LAFAYETTE GENERAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
DAUTERIVE HOSPITAL,Acute Care Hospitals,Proprietary,Yes
THIBODAUX REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Federal,Yes
CHARITY HOSPITAL & MEDICAL CENTER OF LOUISIANA AT,Acute Care Hospitals,Government - State,Yes
UNIVERSITY MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
NATCHITOCHES REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TERREBONNE GENERAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
HUEY P LONG MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
E A CONWAY MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
WEST CALCASIEU CAMERON HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TECHE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
"NORTH OAKS MEDICAL CENTER, LLC",Acute Care Hospitals,Government - Hospital District or Authority,Yes
OPELOUSAS GENERAL HEALTH SYSTEM,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CHRISTUS ST FRANCES CABRINI HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
LANE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SAVOY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
RAPIDES REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
CHRISTUS ST PATRICK HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ABBEVILLE GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
OCHSNER FOUNDATION HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WEST JEFFERSON MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SLIDELL MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CHRISTUS SCHUMPERT HEALTH SYSTEM,Acute Care Hospitals,Voluntary non-profit - Church,Yes
AMERICAN LEGION HOSPITAL,Acute Care Hospitals,Government - Federal,Yes
ST TAMMANY PARISH HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
TOURO INFIRMARY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BEAUREGARD MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
JENNINGS AMERICAN LEGION HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
IBERIA GENERAL HOSPITAL AND MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
LAKE CHARLES MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
OUR LADY OF THE LAKE REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
BATON ROUGE GENERAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST CHARLES PARISH HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
WEST CARROLL MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
NORTHERN LOUISIANA MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
SPRINGHILL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
WINN PARISH MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LSU HEALTH SCIENCES CENTER - SHREVEPORT,Acute Care Hospitals,Government - State,Yes
AVOYELLES HOSPITAL,Acute Care Hospitals,Proprietary,Yes
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
OAKDALE COMMUNITY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WILLIS KNIGHTON MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOMER MEMORIAL HOSPITAL,Acute Care Hospitals,Government - Local,Yes
MOREHOUSE GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
DESOTO REGIONAL HEALTH SYSTEM,Acute Care Hospitals,Proprietary,Yes
EARL K LONG MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
ST FRANCIS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
WOMAN'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
ALLEN PARISH HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
OCHSNER BAPTIST MEDICAL CENTER LLC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FRANKLIN MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
MINDEN MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LASALLE GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
EAST JEFFERSON GENERAL HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
RICHARDSON MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
GLENWOOD REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
W O MOSS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Government - State,Yes
BYRD REGIONAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
MERCY REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
RIVER PARISHES HOSPITAL,Acute Care Hospitals,Proprietary,Yes
TULANE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
LAKEVIEW REGIONAL MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
LEONARD J CHABERT MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CITIZENS MEDICAL CENTER,Acute Care Hospitals,Government - Hospital District or Authority,Yes
CALDWELL MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
VILLA FELICIANA MEDICAL COMPLEX,Acute Care Hospitals,Government - State,No
WOMEN AND CHILDREN'S HOSPITAL AT LAKE CHARLES,Acute Care Hospitals,Proprietary,Yes
OCHSNER MEDICAL CENTER-BATON ROUGE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"OCHSNER MEDICAL CENTER - NORTHSHORE, LLC",Acute Care Hospitals,Voluntary non-profit - Private,Yes
THE REGIONAL MEDICAL CENTER OF ACADIANA,Acute Care Hospitals,Proprietary,Yes
EAST CARROLL PARISH HOSPITAL,Acute Care Hospitals,Government - Hospital District or Authority,Yes
SABINE MEDICAL CENTER,Acute Care Hospitals,Proprietary,Yes
WILLIS KNIGHTON BOSSIER HEALTH CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PHYSICIANS MEDICAL CENTER,Acute Care Hospitals,Proprietary,No
ST ELIZABETH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MONROE SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
P & S SURGICAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
"LOUISIANA MEDICAL CENTER AND HEART HOSPITAL, LLC",Acute Care Hospitals,Proprietary,Yes
SURGICAL SPECIALTY CENTER OF BATON ROUGE,Acute Care Hospitals,Proprietary,No
PARK PLACE SURGICAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
DOCTORS' HOSPITAL OF SLIDELL,Acute Care Hospitals,Proprietary,No
GREEN CLINIC SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
LAFAYETTE SURGICAL SPECIALTY HOSPITAL,Acute Care Hospitals,Proprietary,No
OUACHITA COMMUNITY HOSPITAL,Acute Care Hospitals,Proprietary,Yes
HEART HOSPITAL OF LAFAYETTE,Acute Care Hospitals,Proprietary,Yes
THE NEUROMEDICAL CENTER HOSPITAL,Acute Care Hospitals,Proprietary,Yes
FAIRWAY MEDICAL CENTER,Acute Care Hospitals,Government Federal,No
LAFAYETTE GENERAL SURGICAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,No
SOUTHERN SURGICAL HOSPITAL,Acute Care Hospitals,Government Federal,No
GREATER BATON ROUGE SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
OCHSNER MEDICAL CENTER-KENNER LLC,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SPECIALISTS HOSPITAL SHREVEPORT,Acute Care Hospitals,Government Federal,No
DOCTORS HOSPITAL AT DEER CREEK LLC,Acute Care Hospitals,Government Federal,No
CENTRAL LOUISIANA SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
CYPRESS POINTE SURGICAL HOSPITAL,Acute Care Hospitals,Proprietary,No
IBERIA REHABILITATION HOSPITAL,Acute Care Hospitals,Proprietary,No
SOUTH CAMERON MEMORIAL HOSPITAL,Acute Care Hospitals,Proprietary,Yes
ALEXANDRIA VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
OVERTON BROOKS VA MEDICAL CENTER (SHREVEPORT),ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
UNION GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST MARTIN HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ASSUMPTION COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Church,Yes
ST JAMES PARISH HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
WEST FELICIANA PARISH HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
BUNKIE GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
HARDTNER MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
POINTE COUPEE GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
JACKSON PARISH HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
BIENVILLE MEDICAL CENTER,Critical Access Hospitals,Proprietary,Yes
LALLIE KEMP MEDICAL CENTER,Critical Access Hospitals,Government - State,Yes
ABROM KAPLAN MEMORIAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
RICHLAND PARISH HOSPITAL-DELHI,Critical Access Hospitals,Government - Hospital District or Authority,Yes
OCHSNER ST ANNE GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
LADY OF THE SEA GENERAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
REEVES MEMORIAL MEDICAL CENTER,Critical Access Hospitals,Government - Hospital District or Authority,Yes
ST JOSEPH HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MILES MEMORIAL HOSPITAL (LINCOLN COUNTY HEALTHCARE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MERCY HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MAINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
"AROOSTOOK MEDICAL CENTER,THE",Acute Care Hospitals,Voluntary non-profit - Private,Yes
SOUTHERN MAINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
YORK HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MID COAST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CENTRAL MAINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PARKVIEW ADVENTIST MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
CARY MEDICAL CENTER,Acute Care Hospitals,Government - Local,Yes
EASTERN MAINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ST MARYS REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
FRANKLIN MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MAINE GENERAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Other,Yes
TOGUS VA MEDICAL CENTER,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,Yes
HENRIETTA D GOODALL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
INLAND HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MAINE COAST MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
NORTHERN MAINE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PENOBSCOT BAY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
BLUE HILL MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CHARLES A DEAN MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
ST ANDREWS HOSPITAL (LINCOLN COUNTY HEALTHCARE),Critical Access Hospitals,Voluntary non-profit - Private,Yes
PENOBSCOT VALLEY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MOUNT DESERT ISLAND HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
CALAIS REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
RUMFORD  HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MILLINOCKET REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
HOULTON REGIONAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MAYO REGIONAL HOSPITAL,Critical Access Hospitals,Government - Hospital District or Authority,Yes
BRIDGTON HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
DOWN EAST COMMUNITY HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
WALDO COUNTY GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
SEBASTICOOK VALLEY HOSPITAL (HEALTH),Critical Access Hospitals,Voluntary non-profit - Private,Yes
REDINGTON FAIRVIEW GENERAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Other,Yes
STEPHENS MEMORIAL HOSPITAL,Critical Access Hospitals,Voluntary non-profit - Private,Yes
MERITUS MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNIVERSITY OF MARYLAND MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PRINCE GEORGES HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HOLY CROSS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
FREDERICK MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
HARFORD MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT JOSEPH MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Church,Yes
MERCY MEDICAL CENTER INC,Acute Care Hospitals,Voluntary non-profit - Church,Yes
"JOHNS HOPKINS HOSPITAL, THE",Acute Care Hospitals,Voluntary non-profit - Private,Yes
SAINT AGNES HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Church,Yes
SINAI HOSPITAL OF BALTIMORE,Acute Care Hospitals,Voluntary non-profit - Other,Yes
BON SECOURS HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
WASHINGTON ADVENTIST HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
GARRETT COUNTY MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
MEDSTAR MONTGOMERY MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
PENINSULA REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
SUBURBAN HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
ANNE ARUNDEL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEDSTAR UNION MEMORIAL HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Other,Yes
WESTERN MARYLAND REGIONAL MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEDSTAR SAINT MARY'S HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
JOHNS HOPKINS BAYVIEW MEDICAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CHESTER RIVER HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
UNION HOSPITAL OF CECIL COUNTY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
CARROLL HOSPITAL CENTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes
MEDSTAR HARBOR HOSPITAL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
